recipe_id,recipe_name,category,cuisine,dietary_restrictions,difficulty,prep_time_mins,cook_time_mins,total_time_mins,servings,calories,protein_g,carbs_g,fat_g,rating,num_reviews,ingredients,equipment_needed,author,date_added
RCP01200,Creamy Salad,Snack,Vietnamese,None,Expert,799,4322,5121,4,1025,73.2,124,3.6,1.9,3666,"chicken, potatoes, flour, pepper, salt","grill, food processor",Sarah Wilson,03/04/2024
RCP01201,Herb Stir-fry,Appetizer,Greek,Vegetarian,Easy,20,27,47,12,857,52.8,136.1,,3.7,1824,"shrimp, spinach, broccoli, pasta, milk, thyme, pepper, cumin",microwave,Sarah Wilson,14/09/2023
RCP01202,Savory Casserole,Dessert,Mediterranean,None,Easy,6,57,63,1,889,53.5,16.9,54.7,,1601,"eggs, potatoes, lettuce, cauliflower, cheese, basil, pepper, thyme, oregano","microwave, grill, slow cooker, food processor",Emily Chen,
RCP01203,Spicy Pasta,Dessert,Mexican,None,Hard,671,2347,3018,10,437,62.9,44.9,24.7,1.2,4323,chicken; mushrooms; cauliflower; potatoes; onions; thyme; oregano; basil,"slow cooker, microwave, grill",emily chen,05/12/2025
RCP01204,Herb Curry,Salad,Thai,Paleo,Medium,67,191,258,12,83,62.6,115.9,71.5,1.8,4137,"spinach, oats, cream, basil, thyme",oven,David Lee,27/11/2023
RCP01205,Creamy Steamed,Breakfast,Italian,None,Expert,47,37,84,,,33.5,68.3,36.1,1.2,3844,"broccoli, onions, spinach, cinnamon, cumin","blender, food processor, mixer",Sarah Wilson,31/03/2025
RCP01206,Sweet Cookies,Beverage,Greek,None,Expert,8,213,221,11,1145,55.3,20.6,-5.4,3.4,4045,"BROCCOLI, FLOUR, CUMIN, CINNAMON",air fryer,David Lee,16/05/2025
RCP01207,Curry,Dinner,French,None,Expert,117,179,296,1,291,34.8,60.4,88.8,3.1,4262,"zucchini, broccoli, bread, cheese, basil","blender, stovetop, mixer",Chef John,15/09/2025
RCP01208,Creamy Steamed,Snack,French,None,Medium,112,185,297,8,786,5.7,111.6,42.5,4.7,3118,"spinach, oregano, cumin",food processor,CHEF JOHN,19/05/2023
RCP01209,Grilled,Dinner,Greek,Dairy-Free,Medium,94,151,245,4,456,20.2,64.9,75.2,4.1,4113,"broccoli, potatoes, cinnamon, pepper","microwave, stovetop, grill, mixer",Mary Smith,03/09/2025
RCP01210,Herb Pasta,Dinner,Korean,Keto,Hard,22,89,111,7,1072,16.8,149.6,27.2,3.4,1822,turkey; potatoes; onions; cauliflower,food processor,mary smith,15/07/2023
RCP01211,Tangy Pasta,Dessert,French,Dairy-Free,Medium,67,58,125,8,503,48.8,67.1,51.7,3.5,4691,"tofu, tomatoes, lettuce",microwave,mary smith,17/10/2023
RCP01212,Cake,Lunch,Greek,Gluten-Free,Expert,-12,-35,-47,3,1059,0.8,13.7,11.3,4.9,3403,"potatoes, garlic, mushrooms, paprika, cinnamon, oregano","pressure cooker, oven, mixer",Emily Chen,01/07/2023
RCP01213,Sweet Casserole,Salad,Italian,None,Hard,48,58,106,11,656,,148.7,,3.3,4297,"lamb, cauliflower, pasta, yogurt, cinnamon",pressure cooker,mary smith,13/10/2024
RCP01214,Crispy Smoothie,Dessert,Spanish,None,Easy,96,111,207,11,548,79.5,87.1,23.6,3.7,4179,"cauliflower, zucchini, rice, salt, basil, pepper",mixer|blender,Mary Smith,18/08/2024
RCP01215,Creamy Pizza,Snack,Spanish,None,Easy,88,172,260,2,574,76.6,,21.3,4.7,967,"onions, potatoes, thyme, salt","grill, oven, pressure cooker",Mary Smith,15/06/2025
RCP01216,Crispy Sandwich,Salad,Indian,None,Easy,51,117,168,6,-108,41.6,14.5,84.7,-1.3,2136,"pork, carrots, potatoes, noodles, oregano, cumin","oven, air fryer, stovetop, mixer",Emily Chen,07-19-23
RCP01217,Grilled,Beverage,Japanese,None,Hard,16,47,63,1,784,77.7,123.6,63.2,2.4,3719,"chicken, lettuce, spinach, zucchini, rice, salt","slow cooker, air fryer, blender, food processor",chef john,16/07/2023
RCP01218,Savory Smoothie,Breakfast,Spanish,None,Expert,114,120,234,3,544,29.1,73.9,50.4,3.3,4882,mushrooms; bell peppers; garlic; salt; pepper; paprika; basil,blender,emily chen,17/06/2024
RCP01219,Sweet Salad,Beverage,Italian,Vegan,Medium,30,207,237,12,1095,3.4,36.7,48.3,,2435,"carrots, mushrooms, bell peppers, cumin",pressure cooker,Bob Johnson,13/10/2024
RCP01220,Savory Pie,Beverage,Vietnamese,None,Easy,111,135,246,2,1189,3.1,51.6,77.7,2,4142,"tofu, zucchini, pasta, oregano, basil, cinnamon, pepper",food processor,Chef John,20/07/2023
RCP01221,Tangy Rice Bowl,Salad,Korean,None,Medium,93,28,121,8,,35.2,,55.1,1.2,405,"tofu, carrots, zucchini, broccoli",microwave,Chef John,29/07/2023
RCP01222,Crispy Rice Bowl,Dessert,Thai,None,Medium,81,107,188,6,,78,,10.3,2.6,3266,,"air fryer, grill, slow cooker, blender",Chef John,20/07/2024
RCP01223,Herb Stir-fry,Lunch,Italian,None,Expert,13,157,170,11,,26.1,4.8,45,2.3,2210,"chicken, tomatoes, lettuce, butter","mixer, blender, grill",Sarah Wilson,2026.01.06
RCP01224,Crispy Roast,Dessert,Chinese,None,Easy,5,46,51,4,-98,38.7,135.1,-6.1,3,2091,"chicken, potatoes, zucchini, tomatoes, lettuce, noodles, yogurt, basil, pepper, thyme",pressure cooker,emily chen,12/02/2024
RCP01225,Savory Curry,Dessert,Spanish,None,Easy,46,16,62,4,280,73.6,121.9,24.1,4.1,2356,"pork, tomatoes, garlic, mushrooms, carrots, pasta",microwave,Bob Johnson,
RCP01226,Sweet Rice Bowl,Breakfast,Korean,None,Expert,77,101,178,12,237,13.9,43.9,77.1,4.6,1188,potatoes; flour; basil; paprika; salt; pepper,oven|slow cooker|mixer|stovetop,David Lee,11/05/2025
RCP01227,Tangy Cake,Appetizer,Japanese,None,Easy,25,67,92,5,1060,-3.4,114.7,32.5,-1.5,3997,"bell peppers, mushrooms, broccoli, zucchini, yogurt, oregano, pepper",grill,Mary Smith,18/11/2023
RCP01228,Cookies,Snack,Chinese,None,Hard,64,36,100,3,1141,5.5,43,55.4,2.6,-8,"BEEF, SPINACH, CAULIFLOWER, BELL PEPPERS, QUINOA, CUMIN, SALT","mixer, blender, oven",David Lee,10/01/2024
RCP01229,Herb Soup,Breakfast,Japanese,None,Medium,54,230,284,5,795,78.1,103.3,68.2,2.8,2768,"EGGS, BROCCOLI, BELL PEPPERS, ONIONS, BREAD, CHEESE, OREGANO, CUMIN, PAPRIKA",,CHEF JOHN,04/05/2023
RCP01230,Spicy Tacos,Breakfast,Spanish,None,Expert,42,140,182,4,862,50.9,124.6,18,4.7,808,"pork, tomatoes, bell peppers, cauliflower, onions, oats, cheese, cumin, basil, oregano","slow cooker, food processor, mixer, blender",Sarah Wilson,10/10/2023
RCP01231,Herb Cookies,Dessert,Thai,None,Hard,119,218,337,10,1112,35.6,66.4,74.7,4.7,4401,"beef, potatoes, cauliflower, carrots","blender, stovetop, grill",Sarah Wilson,20/03/2025
RCP01232,Sweet Pizza,Appetizer,Korean,None,Easy,41,179,220,2,572,4.5,100.9,97.8,4.2,4438,"fish, lettuce, onions, spinach, cumin, basil, oregano, pepper",stovetop,emily chen,08/02/2024
RCP01233,Herb Sandwich,Snack,Chinese,Vegan,Expert,116,43,159,5,361,1.1,,12.1,1.4,2357,"TOMATOES, GARLIC, MUSHROOMS, OREGANO, PEPPER","stovetop, mixer, food processor",CHEF JOHN,03/05/2023
RCP01234,Herb Cookies,Snack,Greek,None,Hard,78,109,187,,767,42.3,11.5,20.2,3.6,1394,"eggs, carrots, onions, lettuce, rice, milk, cinnamon, basil, salt, paprika",air fryer,Sarah Wilson,13/02/2023
RCP01235,Savory Pasta,Breakfast,Spanish,Low-Carb,Easy,5,51,56,1,479,59.3,42.6,98.9,2.8,2383,"lamb, onions, mushrooms, broccoli, bread, cumin, cinnamon",stovetop,Mary Smith,11/02/2024
RCP01236,Spicy Rice Bowl,Snack,Vietnamese,Vegan,Easy,,,,-1,995,62.8,21.9,5.3,7.1,3552,"tofu, onions, potatoes, bread, oregano, paprika, cinnamon, pepper",food processor|oven|grill|stovetop,Chef John,04/12/2023
RCP01237,Crispy Pizza,Dessert,Mediterranean,None,Medium,46,183,229,12,,49.3,118.7,72.8,3.6,4384,lamb; onions; carrots; tomatoes; zucchini; paprika; oregano; cinnamon; pepper,"food processor, mixer, slow cooker, microwave",Bob Johnson,11/11/2025
RCP01238,Savory Bread,Beverage,Thai,None,Easy,100,136,236,-4,164,,55.6,32.1,1.4,51,"PORK, SPINACH, BELL PEPPERS, ONIONS, RICE, OREGANO, PEPPER, PAPRIKA",mixer,emily chen,27/02/2023
RCP01239,Tangy Stir-fry,Dinner,American,None,Expert,59,23,82,6,64,58.2,122.3,49.6,4.2,4174,"potatoes, garlic, spinach, cumin, oregano",microwave|pressure cooker,David Lee,02/11/2024
RCP01240,Crispy Fried,Lunch,Greek,Low-Carb,Medium,98,219,317,8,,-2.1,83.7,90.1,4.2,1715,"fish, broccoli, garlic, bell peppers, tomatoes, milk","slow cooker, microwave, oven",Bob Johnson,01/10/2024
RCP01241,Herb Stir-fry,Salad,Korean,None,Medium,11,34,45,8,1160,43.4,3.4,80.5,2.1,138,"pork, mushrooms, carrots, onions, milk, paprika, cinnamon","oven, stovetop",Mary Smith,
RCP01242,Tangy Tacos,Breakfast,Spanish,None,Easy,13,168,181,6,192,69.9,,6.7,3.2,1684,"onions, cream, cinnamon, oregano, cumin","oven, stovetop",CHEF JOHN,
RCP01243,Tangy Sandwich,Lunch,Thai,None,Easy,77,211,288,1,1000,16.5,129.6,9.5,7.7,3114,"garlic, onions, salt, cinnamon, paprika","oven, pressure cooker",chef john,29/07/2024
RCP01244,Rice Bowl,Appetizer,Indian,Vegetarian,Medium,35,154,189,2,771,39.6,122.9,,1.1,2590,"fish, potatoes, lettuce, cumin, salt","stovetop, grill, blender",David Lee,
RCP01245,Tangy Smoothie,Salad,French,None,Medium,31,150,181,7,138,48.7,149.1,76.4,1.3,4806,"fish, spinach, bell peppers",blender,mary smith,31/01/2024
RCP01246,Spicy Bread,Beverage,French,None,Expert,43,24,67,7,271,44.3,-18.3,,1.2,,"spinach, quinoa, cumin","slow cooker, pressure cooker, stovetop, food processor",Chef John,23/08/2024
RCP01247,Savory Fried,Salad,Thai,None,Easy,69,15,84,3,-151,74.6,93.5,90.5,4.2,,"cauliflower, carrots, lettuce, spinach, bread, cream, oregano","grill, air fryer",Mary Smith,25/03/2024
RCP01248,Tangy Curry,Salad,Chinese,None,Easy,112,182,294,7,925,78.2,121.7,39.8,1.1,635,"lettuce, noodles, pepper, cumin, basil",oven,David Lee,16/03/2025
RCP01249,Creamy Soup,Salad,Thai,None,Easy,67,128,195,8,1198,8.7,42.9,88.1,1.3,2317,broccoli; zucchini; pasta; salt; thyme,"microwave, food processor, blender",mary smith,25/01/2025
RCP01250,Creamy Tacos,Snack,Greek,None,Easy,97,105,202,12,482,14.8,33.6,95.9,3.1,1254,"beef, carrots, cumin",slow cooker,Bob Johnson,27/08/2023
RCP01251,Crispy Cake,Dessert,Mexican,None,Medium,26,169,195,4,290,76.5,109.5,47.9,4.3,3292,"garlic, cauliflower, mushrooms, pasta, oregano, basil, paprika, cinnamon","blender, microwave, oven, food processor",David Lee,08/05/2023
RCP01252,Creamy Stir-fry,Beverage,Mexican,Vegan,Easy,43,15,58,9,1024,68,12,42.3,3.9,-48,"BEEF, MUSHROOMS, OATS, CREAM, CINNAMON, THYME, BASIL","pressure cooker, air fryer, blender",David Lee,29/10/2023
RCP01253,Sweet Grilled,Dinner,American,None,Hard,42,228,270,9,402,13.8,69.9,18.3,2.7,1944,"lamb, zucchini, bread, cream","blender, microwave",Emily Chen,2023.04.30
RCP01254,Savory Cake,Appetizer,Korean,Low-Carb,Easy,106,63,169,3,1087,9.1,17.5,37.5,3.8,4108,"turkey, carrots, garlic, cheese, paprika","mixer, microwave",Chef John,14/06/2023
RCP01255,Sweet Smoothie,Appetizer,Korean,None,Medium,12,125,137,7,698,61.2,-16.5,55.6,3.4,2546,,microwave|slow cooker|pressure cooker|mixer,Sarah Wilson,26/07/2024
RCP01256,Spicy Grilled,Breakfast,Greek,None,Hard,65,70,135,9,794,58.8,,65.5,1.7,,"lamb, garlic, onions, potatoes, butter, oregano, thyme, paprika","stovetop, slow cooker, pressure cooker, oven",emily chen,07/06/2023
RCP01257,Spicy Rice Bowl,Appetizer,Indian,None,Expert,53,68,121,9,178,27.6,88.4,47.4,1.9,3121,"tomatoes, broccoli, mushrooms, rice, paprika",,emily chen,
RCP01258,Herb Sandwich,Appetizer,Vietnamese,None,Hard,106,96,202,5,681,56.6,103.2,13.3,4.8,2248,garlic; carrots; potatoes; flour; milk; paprika; cumin; pepper; cinnamon,"air fryer, stovetop, food processor",Emily Chen,01/07/2023
RCP01259,Savory Salad,Snack,Japanese,None,Medium,109,32,141,9,360,34.6,,51.4,4.2,2861,lamb; spinach; broccoli; garlic; quinoa; yogurt; paprika; oregano; basil; cinnamon,stovetop|slow cooker|pressure cooker,Mary Smith,12/05/2023
RCP01260,Crispy Pie,Breakfast,Thai,None,Easy,62,161,223,2,,50.3,31.4,,1.4,678,"broccoli, tomatoes, potatoes, lettuce, bread, yogurt, oregano",,Mary Smith,10-28-24
RCP01261,Savory Soup,Breakfast,Italian,None,Medium,77,39,116,2,900,65.4,51.6,9.9,1.3,4552,fish; broccoli; mushrooms; quinoa; cinnamon; oregano; pepper; paprika,"pressure cooker, oven, slow cooker, blender",Bob Johnson,02-13-24
RCP01262,Creamy Grilled,Salad,Mediterranean,None,Expert,119,65,184,5,724,9.5,79.3,84.8,1.8,2476,"carrots, onions, quinoa, butter, cumin, pepper, cinnamon, thyme","mixer, stovetop, oven, pressure cooker",emily chen,
RCP01263,Herb Soup,Snack,Italian,None,Easy,89,112,201,9,,46.1,-17.2,6.4,3,4198,"POTATOES, OREGANO, BASIL, SALT, CUMIN",grill,Emily Chen,08/01/2024
RCP01264,Crispy Stir-fry,Dessert,Mexican,Dairy-Free,Medium,25,63,88,7,392,71.4,136.2,19.9,4.3,1912,"pork, tomatoes, carrots, bell peppers, noodles, cumin, basil","slow cooker, microwave, air fryer, mixer",Emily Chen,12/01/2026
RCP01265,Savory Baked,Dinner,Korean,Gluten-Free,Medium,42,76,118,1,,,76.1,27.2,9.7,1949,"shrimp, tomatoes, cauliflower, thyme, paprika","stovetop, mixer, slow cooker",Emily Chen,22/06/2024
RCP01266,Crispy Bread,Dessert,Italian,Gluten-Free,Medium,21,147,168,6,401,79.3,,,3.2,4755,"turkey, cauliflower, tomatoes, carrots, bell peppers, thyme, cumin, cinnamon","slow cooker, grill, blender, air fryer",CHEF JOHN,29/10/2023
RCP01267,Herb Baked,Dessert,French,None,Medium,45,42,87,1,1170,36.8,,23.5,5,,"lamb, zucchini, tomatoes, potatoes, rice, cumin, thyme",grill,Emily Chen,17/10/2025
RCP01268,Tangy Pizza,Breakfast,Korean,None,Hard,27,47,74,7,636,66,31.2,64.8,3.1,494,,food processor|slow cooker|grill|stovetop,mary smith,26/11/2024
RCP01269,Crispy Curry,Lunch,Indian,None,Easy,38,12,50,2,1028,61.1,12.5,51.2,3.1,3659,"onions, cauliflower, bread, cream, thyme, salt","mixer, air fryer",Chef John,24/05/2024
RCP01270,Tangy Rice Bowl,Dessert,Korean,None,Easy,46,218,264,-2,54,64.3,58.4,74.3,3.3,3396,"carrots, pasta, paprika, cumin",,Bob Johnson,17/08/2024
RCP01271,Sweet Sandwich,Lunch,Chinese,None,Medium,53,57,110,10,1150,36.7,0.6,3.1,3.9,4821,"chicken, bell peppers, basil, oregano",grill,CHEF JOHN,23/09/2025
RCP01272,Sweet Stir-fry,Dinner,Greek,Paleo,Easy,96,196,292,1,887,52.2,25.6,20.1,2.8,1515,"zucchini, tomatoes, onions, garlic, yogurt, salt, cinnamon",pressure cooker|grill,David Lee,19/02/2025
RCP01273,Creamy Fried,Dinner,Japanese,None,Easy,25,165,190,4,926,3.8,8.9,-5.5,,1874,"mushrooms, flour, pepper, cinnamon, paprika",,mary smith,17/12/2023
RCP01274,Herb Casserole,Snack,Thai,None,Expert,36,13,49,3,549,44,113.1,90.9,3,-9,"pork, tomatoes, zucchini, broccoli, oregano, cinnamon","oven, microwave, stovetop, slow cooker",CHEF JOHN,19/04/2025
RCP01275,Pizza,Beverage,Italian,None,Medium,57,214,271,7,810,40.7,92.1,-5.8,3.3,921,"eggs, mushrooms, flour, yogurt, paprika, thyme, cinnamon","microwave, blender",Bob Johnson,21/08/2024
RCP01276,Savory Stir-fry,Appetizer,Italian,None,Hard,84,15,99,8,1163,77.5,103.5,39.8,,2533,eggs; garlic; rice; paprika; cinnamon,"mixer, stovetop, air fryer",Chef John,24/10/2024
RCP01277,Sweet Soup,Dinner,Indian,None,Expert,44,41,85,3,597,58.7,45.8,97.6,6.4,284,"tomatoes, milk, basil, salt, oregano","mixer, pressure cooker, blender",CHEF JOHN,21/07/2024
RCP01278,Crispy Sandwich,Dinner,Italian,None,Easy,22,119,141,7,298,35.4,15.6,38.3,2.9,2844,"beef, bell peppers, bread, milk, paprika, thyme","slow cooker, microwave, air fryer",emily chen,17/08/2025
RCP01279,Savory Salad,Lunch,Vietnamese,None,Hard,65,28,93,10,1184,76,61,32.4,3.3,1738,"turkey, lettuce, tomatoes, noodles, oregano, salt, basil",oven,Emily Chen,
RCP01280,Sandwich,Lunch,Chinese,Gluten-Free,Expert,116,142,258,10,175,22.6,59.2,84.6,3.8,788,,,emily chen,30/09/2023
RCP01281,Tangy Roast,Dessert,Italian,Low-Carb,Medium,101,179,280,3,656,15.1,145.6,-2,4,4026,"broccoli, spinach, zucchini, bell peppers, oats, oregano, pepper, salt, paprika","food processor, mixer",CHEF JOHN,10/07/2023
RCP01282,Crispy Pizza,Breakfast,French,Keto,Easy,49,129,178,2,360,5.6,145.8,6.7,-0.7,4476,"TOFU, BELL PEPPERS, SPINACH, ZUCCHINI, BROCCOLI, BASIL, CUMIN, CINNAMON, PAPRIKA",microwave|stovetop|slow cooker|grill,Emily Chen,14/10/2024
RCP01283,Sweet Sandwich,Dessert,Chinese,None,Hard,91,57,148,6,304,76.8,-2.5,44.8,1.1,459,"tofu, broccoli, tomatoes, salt, paprika, basil",,Sarah Wilson,04/02/2023
RCP01284,Tangy Curry,Dinner,Greek,Keto,Hard,85,222,307,8,1095,57.5,,77.5,1.4,1613,"pork, bell peppers, mushrooms, cream, pepper, oregano","grill, stovetop",David Lee,02/05/2023
RCP01285,Sweet Noodles,Snack,American,None,Expert,47,110,157,2,169,31.6,29.6,8.3,1.2,4866,"turkey, broccoli, cheese, oregano, pepper, cumin","microwave, stovetop, oven, mixer",Sarah Wilson,09/07/2025
RCP01286,Curry,Salad,Mediterranean,None,Hard,91,167,258,11,928,33.8,49.8,41.2,3.1,4303,eggs; lettuce; cream; thyme; salt; cinnamon; cumin,,emily chen,2023.06.25
RCP01287,Pie,Snack,Greek,None,Hard,10,174,184,3,547,35.4,19.3,45.8,3.7,-25,"chicken, broccoli, garlic, thyme, paprika, pepper, salt",stovetop,Sarah Wilson,06/12/2023
RCP01288,Tangy Curry,Beverage,Korean,None,Easy,20,24,44,11,1024,62.1,140.8,66.6,2.4,2958,"CARROTS, MUSHROOMS, CAULIFLOWER, OATS, MILK, THYME, BASIL, OREGANO, PEPPER","grill, blender",Bob Johnson,14/01/2025
RCP01289,Creamy Soup,Dinner,Mexican,None,Medium,17,76,93,8,,71,41.4,18.3,2,4827,"tomatoes, rice, oregano","oven, slow cooker",Emily Chen,01/07/2023
RCP01290,Creamy Fried,Appetizer,Vietnamese,None,Hard,105,161,266,11,,38.8,34,-12.4,2.5,4551,"beef, potatoes, cauliflower","oven, slow cooker, air fryer, mixer",Mary Smith,20/06/2023
RCP01291,Grilled,Appetizer,French,Vegetarian,Medium,117,15,132,10,,40.5,12.6,98.9,1.6,869,"lamb, lettuce, thyme, paprika",mixer,Chef John,24/10/2024
RCP01292,Herb Noodles,Breakfast,Japanese,None,Medium,67,195,262,,404,30.3,,69.3,3.6,3268,"tomatoes, onions, spinach, garlic, cream, basil, cumin","mixer, pressure cooker, stovetop",Chef John,27/08/2023
RCP01293,Herb Noodles,Dessert,Chinese,None,Medium,88,100,188,8,254,26.7,110.7,6.4,3.1,2783,"spinach, bell peppers, carrots, zucchini, quinoa, cinnamon, basil",slow cooker,chef john,07/10/2023
RCP01294,Crispy Curry,Dessert,Japanese,None,Easy,,,,4,-120,28.4,43.9,18,2.3,154,"fish, zucchini, onions, potatoes, bell peppers, yogurt, cumin, thyme, paprika",mixer|microwave|pressure cooker,David Lee,28/04/2023
RCP01295,Crispy Soup,Salad,Chinese,None,Easy,103,190,293,7,679,13.5,89.4,39.5,4.7,3297,"onions, cauliflower, spinach, rice, pepper, paprika, thyme","mixer, stovetop, blender, grill",emily chen,05/02/2025
RCP01296,Savory Rice Bowl,Lunch,American,Vegetarian,Hard,112,70,182,6,10422,8.7,54.6,42.6,2.1,4122,,"air fryer, mixer",Mary Smith,10/07/2023
RCP01297,Spicy Curry,Snack,American,None,Hard,-6,-33,-39,,,57.6,71,82.2,3.1,2265,"SHRIMP, ZUCCHINI, BROCCOLI, QUINOA, YOGURT, SALT, PEPPER, BASIL",food processor,Emily Chen,04/08/2025
RCP01298,Spicy Grilled,Salad,Japanese,None,Expert,,,,5,-192,14.8,90.5,55.8,4.8,3427,"POTATOES, MUSHROOMS, GARLIC, SPINACH, OATS, THYME, PEPPER, PAPRIKA","microwave, air fryer",mary smith,05/08/2024
RCP01299,Tangy Stir-fry,Dinner,Italian,None,Expert,48,155,203,2,464,70.8,48.8,65.5,2.4,2546,"mushrooms, potatoes, onions, noodles, paprika, cinnamon, basil, salt","mixer, oven, stovetop",chef john,15/02/2025
RCP01300,Baked,Breakfast,Italian,Vegetarian,Easy,47,159,206,3,295,48.8,123.4,69.3,2.4,234,"carrots, mushrooms, tomatoes, cream, basil, cinnamon, thyme","blender, food processor",CHEF JOHN,06/01/2026
RCP01301,Savory Pasta,Salad,Thai,Paleo,Easy,76,171,247,10,845,,54.2,15.6,3.4,3976,"cauliflower, rice, basil, paprika, cumin, pepper","slow cooker, pressure cooker, stovetop, oven",David Lee,30/03/2025
RCP01302,Savory Salad,Lunch,American,None,Medium,85,138,223,5,558,51.2,79.2,88.4,3.8,4813,"eggs, lettuce, bread, butter, oregano, paprika",,,08/10/2025
RCP01303,Crispy Baked,Salad,French,None,Expert,40,169,209,8,540,51.6,75.6,10.1,3.7,2480,"turkey, onions, yogurt, cinnamon, thyme, pepper, salt","air fryer, blender, grill",Emily Chen,
RCP01304,Savory Pie,Dinner,Chinese,Gluten-Free,Hard,25,234,259,9,311,77.2,8.3,-14.4,2.1,2372,"tofu, tomatoes, carrots, mushrooms, yogurt, thyme, cinnamon",microwave,mary smith,05/03/2025
RCP01305,Cake,Breakfast,Italian,Dairy-Free,Expert,77,210,287,4,623,0.2,80.1,92.9,1.4,3826,pork; mushrooms; quinoa; butter; cumin; basil; pepper; thyme,"stovetop, air fryer, microwave",Chef John,12/04/2023
RCP01306,Tangy Pizza,Salad,American,None,Hard,96,93,189,6,311,45.7,125.4,68.7,3.7,515,"carrots, broccoli, garlic, flour, milk, salt, basil, pepper, thyme","grill, mixer, microwave, oven",Emily Chen,2024.06.17
RCP01307,Cookies,Beverage,Mexican,Low-Carb,Expert,71,239,310,12,549,49.5,12.1,16.5,3.2,2901,"EGGS, ONIONS, POTATOES, SPINACH, NOODLES, PAPRIKA","slow cooker, blender, food processor, oven",CHEF JOHN,17/01/2026
RCP01308,Creamy Salad,Appetizer,Japanese,None,Expert,107,26,133,,748,70.5,42.9,39.8,4.4,1837,"BEEF, CAULIFLOWER, ONIONS, TOMATOES, BREAD, YOGURT, PEPPER, PAPRIKA, BASIL","mixer, oven",chef john,11/01/2025
RCP01309,Creamy Pie,Breakfast,Spanish,None,Easy,90,168,258,8,832,21.6,80.1,83.8,4.2,2803,"GARLIC, SPINACH, CAULIFLOWER, POTATOES, PAPRIKA, THYME, CINNAMON",,CHEF JOHN,14/05/2024
RCP01310,Sweet Steamed,Beverage,French,None,Expert,51,45,96,11,452,-7.3,32.4,57,4.8,3531,"TOFU, CAULIFLOWER, ONIONS, BELL PEPPERS, LETTUCE, OREGANO, CUMIN",slow cooker,David Lee,24/10/2024
RCP01311,Creamy Baked,Appetizer,Vietnamese,None,Hard,107,133,240,3,,23.2,58.1,-7.6,3.4,4291,"broccoli, tomatoes, milk, salt, cinnamon","food processor, slow cooker, microwave",CHEF JOHN,01/03/2023
RCP01312,Tangy Cake,Salad,Mexican,None,Expert,47,71,118,8,501,52.4,11.1,54.8,2.1,1358,"fish, potatoes, bread, butter, thyme, oregano",grill,Mary Smith,17/07/2023
RCP01313,Crispy Pasta,Lunch,French,None,Medium,5,146,151,2,1080,23.6,9.5,55.7,1.3,-18,"mushrooms, potatoes, tomatoes, oats, thyme, paprika, salt, oregano",slow cooker,Emily Chen,09-26-24
RCP01314,Herb Pie,Beverage,Japanese,Vegetarian,Easy,25,149,174,11,824,52.6,14.3,2.8,3.7,81,"lamb, broccoli, onions, paprika, cumin, cinnamon, basil","microwave, slow cooker",emily chen,23/09/2025
RCP01315,Spicy Cake,Appetizer,Mediterranean,None,Easy,64,225,289,10,11672,,88.3,64.5,5,2177,onions; basil; salt,"food processor, air fryer",CHEF JOHN,10/08/2024
RCP01316,Grilled,Snack,Greek,None,Hard,-23,-38,-61,,259,3,104.1,78.3,2.6,,"carrots, garlic, potatoes, onions, basil, cinnamon",stovetop|grill|slow cooker|mixer,Mary Smith,10/09/2024
RCP01317,Spicy Tacos,Beverage,Mexican,None,Expert,87,30,117,2,460,64.8,97.6,51.3,4.7,1348,"turkey, mushrooms, cream, thyme, cinnamon, cumin",slow cooker|mixer,David Lee,14/06/2025
RCP01318,Spicy Rice Bowl,Salad,Spanish,None,Easy,72,152,224,7,,2.7,61.7,14,2.2,937,"mushrooms, tomatoes, cinnamon, pepper, paprika, thyme","stovetop, microwave",Mary Smith,11/02/2024
RCP01319,Herb Curry,Dinner,Chinese,Low-Carb,Hard,39,214,253,9,101,65.7,145.5,91.2,4.5,4971,"lettuce, cauliflower, garlic, mushrooms, cinnamon, pepper, basil, cumin","air fryer, oven",chef john,03/05/2023
RCP01320,Tangy Cookies,Beverage,American,Vegetarian,Expert,34,40,74,4,970,59.4,132.4,91.4,4.9,3696,"eggs, carrots, tomatoes, pepper, oregano, basil, paprika","oven, mixer, microwave",mary smith,12/08/2024
RCP01321,Savory Sandwich,Breakfast,Greek,None,Expert,75,207,282,11,135,,65.1,79.5,,1126,"pork, lettuce, tomatoes, spinach, mushrooms, pasta, salt, thyme, basil, pepper",pressure cooker,,
RCP01322,Crispy Bread,Dinner,Mexican,None,Easy,72,133,205,5,921,73.8,33.3,95.1,4.5,2304,"tofu, garlic, tomatoes, flour","oven, blender, slow cooker",CHEF JOHN,27/08/2024
RCP01323,Sweet Roast,Dinner,Chinese,None,Easy,,,,2,174,76.7,52.3,37.1,2.8,90,"eggs, broccoli, onions, spinach, potatoes",air fryer,Mary Smith,15/03/2023
RCP01324,Tangy Fried,Salad,Chinese,None,Expert,71,203,274,9,856,45.2,45.8,33.5,1.5,1631,"shrimp, potatoes, garlic, pasta, thyme, cinnamon","oven, slow cooker, pressure cooker",Chef John,21/04/2025
RCP01325,Herb Bread,Dinner,Mediterranean,None,Hard,87,151,238,9,705,70.5,,32.7,3.3,1365,"onions, carrots, bread, oregano, basil","microwave, stovetop",chef john,28/08/2025
